repeat,seed,model,inference_time_s
1,100,U-Net,3.3223279000e+00
1,100,U-Net (LoMix),3.5649009000e+00
1,100,FNO,3.1835387000e+00
2,101,U-Net,3.2329572000e+00
2,101,U-Net (LoMix),3.5608237000e+00
2,101,FNO,3.3792883000e+00
3,102,U-Net,3.3209701000e+00
3,102,U-Net (LoMix),3.8471318000e+00
3,102,FNO,3.1149419000e+00
4,103,U-Net,3.2211082000e+00
4,103,U-Net (LoMix),3.5528348000e+00
4,103,FNO,3.2108571000e+00
5,104,U-Net,3.2800213000e+00
5,104,U-Net (LoMix),3.6464913000e+00
5,104,FNO,3.2639207000e+00
6,105,U-Net,3.3489440000e+00
6,105,U-Net (LoMix),3.8833687000e+00
6,105,FNO,3.1067243000e+00
7,106,U-Net,3.2833345000e+00
7,106,U-Net (LoMix),3.5861100000e+00
7,106,FNO,3.1171294000e+00
8,107,U-Net,3.2619495000e+00
8,107,U-Net (LoMix),3.5438807000e+00
8,107,FNO,3.0963145000e+00
9,108,U-Net,3.2363221000e+00
9,108,U-Net (LoMix),3.5887892000e+00
9,108,FNO,3.0398978000e+00
10,109,U-Net,3.2720602000e+00
10,109,U-Net (LoMix),3.5685150000e+00
10,109,FNO,3.0896419000e+00
11,110,U-Net,3.3527039000e+00
11,110,U-Net (LoMix),3.6087149000e+00
11,110,FNO,3.0175215000e+00
12,111,U-Net,3.2333200000e+00
12,111,U-Net (LoMix),3.5981019000e+00
12,111,FNO,3.0575352000e+00
13,112,U-Net,3.2521736000e+00
13,112,U-Net (LoMix),3.6090007000e+00
13,112,FNO,3.0302148000e+00
14,113,U-Net,3.3074625000e+00
14,113,U-Net (LoMix),3.6155787000e+00
14,113,FNO,3.1404128000e+00
15,114,U-Net,3.3715562000e+00
15,114,U-Net (LoMix),3.6370207000e+00
15,114,FNO,3.0613770000e+00
16,115,U-Net,3.2368515000e+00
16,115,U-Net (LoMix),3.7485230000e+00
16,115,FNO,3.0500297000e+00
17,116,U-Net,3.3304632000e+00
17,116,U-Net (LoMix),3.5375066000e+00
17,116,FNO,3.0616789000e+00
18,117,U-Net,3.3105146000e+00
18,117,U-Net (LoMix),3.6586942000e+00
18,117,FNO,3.0751133000e+00
19,118,U-Net,3.2993699000e+00
19,118,U-Net (LoMix),3.5357045000e+00
19,118,FNO,3.0320367000e+00
20,119,U-Net,3.2783634000e+00
20,119,U-Net (LoMix),4.0372262000e+00
20,119,FNO,3.1704989000e+00
21,120,U-Net,3.2580514000e+00
21,120,U-Net (LoMix),3.7747358000e+00
21,120,FNO,3.1600368000e+00
22,121,U-Net,3.3175283000e+00
22,121,U-Net (LoMix),3.6296551000e+00
22,121,FNO,3.1275583000e+00
23,122,U-Net,3.2572090000e+00
23,122,U-Net (LoMix),3.6996176000e+00
23,122,FNO,3.1888049000e+00
24,123,U-Net,3.3408686000e+00
24,123,U-Net (LoMix),3.8886569000e+00
24,123,FNO,3.0707305000e+00
25,124,U-Net,3.5402494000e+00
25,124,U-Net (LoMix),3.5776728000e+00
25,124,FNO,3.0116952000e+00
26,125,U-Net,3.3064284000e+00
26,125,U-Net (LoMix),3.5108487000e+00
26,125,FNO,3.0100569000e+00
27,126,U-Net,3.2704733000e+00
27,126,U-Net (LoMix),3.5893217000e+00
27,126,FNO,3.0513509000e+00
28,127,U-Net,3.3000083000e+00
28,127,U-Net (LoMix),3.6962324000e+00
28,127,FNO,3.0086321000e+00
29,128,U-Net,3.2933575000e+00
29,128,U-Net (LoMix),3.5071337000e+00
29,128,FNO,3.1635930000e+00
30,129,U-Net,3.2626863000e+00
30,129,U-Net (LoMix),3.6421083000e+00
30,129,FNO,3.0839336000e+00
